kind,old_id,new_id,old_rel,new_rel
thumb,2022_023,019891b0-f39c-721b-b645-0e2a1c090d9b,images/paintings/thumbnails/2022_023_thumb.png,images/paintings/thumbnails/019891b0-f39c-721b-b645-0e2a1c090d9b_thumb.png
large,2022_023,019891b0-f39c-721b-b645-0e2a1c090d9b,images/paintings/large/2022_023_large.png,images/paintings/large/019891b0-f39c-721b-b645-0e2a1c090d9b_large.png
thumb,2022_024,019891b0-f39c-7539-8543-c9a7de487cca,images/paintings/thumbnails/2022_024_thumb.png,images/paintings/thumbnails/019891b0-f39c-7539-8543-c9a7de487cca_thumb.png
large,2022_024,019891b0-f39c-7539-8543-c9a7de487cca,images/paintings/large/2022_024_large.png,images/paintings/large/019891b0-f39c-7539-8543-c9a7de487cca_large.png
thumb,2022_025,019891b0-f39c-7fb1-9331-58595bfdef27,images/paintings/thumbnails/2022_025_thumb.png,images/paintings/thumbnails/019891b0-f39c-7fb1-9331-58595bfdef27_thumb.png
large,2022_025,019891b0-f39c-7fb1-9331-58595bfdef27,images/paintings/large/2022_025_large.png,images/paintings/large/019891b0-f39c-7fb1-9331-58595bfdef27_large.png
thumb,2022_026,019891b0-f39c-7995-bcb5-8b510d734e53,images/paintings/thumbnails/2022_026_thumb.png,images/paintings/thumbnails/019891b0-f39c-7995-bcb5-8b510d734e53_thumb.png
large,2022_026,019891b0-f39c-7995-bcb5-8b510d734e53,images/paintings/large/2022_026_large.png,images/paintings/large/019891b0-f39c-7995-bcb5-8b510d734e53_large.png
thumb,2022_027,019891b0-f39c-71f0-bd5c-b448f22ef5f4,images/paintings/thumbnails/2022_027_thumb.png,images/paintings/thumbnails/019891b0-f39c-71f0-bd5c-b448f22ef5f4_thumb.png
large,2022_027,019891b0-f39c-71f0-bd5c-b448f22ef5f4,images/paintings/large/2022_027_large.png,images/paintings/large/019891b0-f39c-71f0-bd5c-b448f22ef5f4_large.png
thumb,2022_028,019891b0-f39c-7ab8-8fe9-f1831466661b,images/paintings/thumbnails/2022_028_thumb.png,images/paintings/thumbnails/019891b0-f39c-7ab8-8fe9-f1831466661b_thumb.png
large,2022_028,019891b0-f39c-7ab8-8fe9-f1831466661b,images/paintings/large/2022_028_large.png,images/paintings/large/019891b0-f39c-7ab8-8fe9-f1831466661b_large.png
thumb,2022_029,019891b0-f39c-7e7e-ab7e-4b6efd6d2dfa,images/paintings/thumbnails/2022_029_thumb.png,images/paintings/thumbnails/019891b0-f39c-7e7e-ab7e-4b6efd6d2dfa_thumb.png
large,2022_029,019891b0-f39c-7e7e-ab7e-4b6efd6d2dfa,images/paintings/large/2022_029_large.png,images/paintings/large/019891b0-f39c-7e7e-ab7e-4b6efd6d2dfa_large.png
thumb,2022_030,019891b0-f39c-7b22-bbfe-e41fb9b54d40,images/paintings/thumbnails/2022_030_thumb.png,images/paintings/thumbnails/019891b0-f39c-7b22-bbfe-e41fb9b54d40_thumb.png
large,2022_030,019891b0-f39c-7b22-bbfe-e41fb9b54d40,images/paintings/large/2022_030_large.png,images/paintings/large/019891b0-f39c-7b22-bbfe-e41fb9b54d40_large.png
thumb,2022_031,019891b0-f39c-7a31-8759-95a350b1e45b,images/paintings/thumbnails/2022_031_thumb.png,images/paintings/thumbnails/019891b0-f39c-7a31-8759-95a350b1e45b_thumb.png
large,2022_031,019891b0-f39c-7a31-8759-95a350b1e45b,images/paintings/large/2022_031_large.png,images/paintings/large/019891b0-f39c-7a31-8759-95a350b1e45b_large.png
thumb,2022_032,019891b0-f39c-7b15-9621-9861ba359745,images/paintings/thumbnails/2022_032_thumb.png,images/paintings/thumbnails/019891b0-f39c-7b15-9621-9861ba359745_thumb.png
large,2022_032,019891b0-f39c-7b15-9621-9861ba359745,images/paintings/large/2022_032_large.png,images/paintings/large/019891b0-f39c-7b15-9621-9861ba359745_large.png
thumb,2022_034,019891b0-f39c-73f5-98b1-d68da1664faf,images/paintings/thumbnails/2022_034_thumb.png,images/paintings/thumbnails/019891b0-f39c-73f5-98b1-d68da1664faf_thumb.png
large,2022_034,019891b0-f39c-73f5-98b1-d68da1664faf,images/paintings/large/2022_034_large.png,images/paintings/large/019891b0-f39c-73f5-98b1-d68da1664faf_large.png
